"name_name","name_picture","name_picture_url","name_address","name_level"
"中国美术馆","https://dimg06.c-ctrip.com/images/100r1f000001gonjhD726_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/62735.html","北京市东城区五四大街一号",""
"五道营胡同","https://dimg07.c-ctrip.com/images/100b1f000001gsp1uE466_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/108461.html","北京市东城区安定门五道营胡同67号西门",""
"中国人民革命军事博物馆","https://dimg03.c-ctrip.com/images/0101e120004zh4ifhA281_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/62723.html","北京市海淀区复兴路9号",""
"黑龙潭风景区","https://dimg05.c-ctrip.com/images/0101x120008hm2lgi38DA_C_220_140.jpg","https://you.ctrip.com/sight/miyun768/10028.html","北京市密云区石城乡鹿皮关","AAAA级景区"
"孔庙和国子监博物馆","https://dimg01.c-ctrip.com/images/10041f000001gpb1m1388_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/1485193.html","北京市东城区安定门内国子监街15号","AAAA级景区"
"八达岭古长城（残长城）","https://dimg04.c-ctrip.com/images/10081f000001gqgfs98CE_C_220_140.jpg","https://you.ctrip.com/sight/yanqing770/142090.html","北京市延庆区八达岭镇东沟村","AAA级景区"
"万寿山","https://dimg01.c-ctrip.com/images/100l1f000001gqejyFCAB_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/146846.html","北京市海淀区新建宫门路19号颐和园内",""
"什刹海酒吧街","https://dimg01.c-ctrip.com/images/100g1f000001gr02u35CC_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/54222.html","北京市西城区地安门西大街",""
"大水法","https://dimg03.c-ctrip.com/images/100j1f000001gprvqF134_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/133012.html","海淀区圆明园遗址公园北侧",""
"太和殿","https://dimg05.c-ctrip.com/images/100j1f000001gpudu7309_C_220_140.jpg","https://you.ctrip.com/sight/beijing1/145159.html","北京市东城区景山前街4号故宫博物院内",""
